12/14/2023, 15:01:30, [16, 8], [16, 8], 2dbox, 20, 10
12/14/2023, 15:01:40, [16, 8], [16, 8], 2dbox, 20, 10
12/14/2023, 15:25:30, [32, 32], [32, 32], Ant-v4, 20, 10
12/14/2023, 15:42:56, [8, 8], [8, 8], 2dbox, 20000, 10
12/14/2023, 16:06:34, [8, 8], [8, 8], 2dbox, 20000, 10
12/14/2023, 16:33:16, [8, 8], [8, 8], 2dbox, 20000, 10
12/14/2023, 17:18:22, [8, 8], [8, 8], 2dbox, 7500, 10
12/14/2023, 17:29:05, [8, 8], [8, 8], 2dbox, 7500, 10
12/14/2023, 17:50:38, [8, 8], [8, 8], 2dbox, 7500, 10
12/14/2023, 17:55:57, [8, 8], [8, 8], 2dbox, 1000, 10
12/14/2023, 17:58:35, [32, 32], [32, 32], HalfCheetah-v4, 100, 10
12/14/2023, 18:08:21, [32, 32], [32, 32], HalfCheetah-v4, 100, 10
12/14/2023, 18:12:46, [32, 32], [32, 32], HalfCheetah-v4, 20, 10
12/14/2023, 18:14:44, [32, 32], [32, 32], HalfCheetah-v4, 20, 10
12/14/2023, 18:17:19, [32, 32], [32, 32], HalfCheetah-v4, 20, 10
12/14/2023, 18:18:51, [32, 32], [32, 32], 2dbox, 200, 10
12/14/2023, 19:31:17, [32, 32], [32, 32], 2dbox, 2000, 10
12/14/2023, 19:43:37, [32, 32], [32, 32], 2dbox, 5000, 5
12/14/2023, 19:58:51, [32, 32], [32, 32], 2dbox, 5000, 5
12/14/2023, 20:27:11, [32, 32], [32, 32], 2dbox, 1000, 5
12/14/2023, 20:45:15, [32, 32], [32, 32], 2dbox, 1000, 5
12/14/2023, 21:05:01, [32, 32], [32, 32], 2dbox, 1000, 5
12/14/2023, 21:15:12, [32, 32], [32, 32], 2dbox, 10000, 5
12/14/2023, 21:23:20, [32, 32], [32, 32], 2dbox, 10000, 5
12/14/2023, 21:25:49, [32, 32], [32, 32], 2dbox, 1000, 5
12/14/2023, 21:35:24, [32, 32], [32, 32], 2dbox, 1000, 5
12/14/2023, 21:39:18, [32, 32], [32, 32], 2dbox, 1000, 5
12/14/2023, 21:40:54, [32, 32], [32, 32], 2dbox, 1000, 5
12/14/2023, 21:57:19, [32, 32], [32, 32], 2dbox, 1000, 5
12/14/2023, 21:59:05, [32, 32], [32, 32], 2dbox, 1000, 5
12/14/2023, 22:03:48, [32, 32], [32, 32], 2dbox, 1000, 5
